Feature,Importance
AvgMonthlyChargesPerTenure,0.17732094297271736
MonthlyCharges,0.1190465606370034
TotalCharges,0.10879281955951335
tenure,0.1018272439163655
Contract,0.09088009420165367
ContractTenure,0.07304808848070768
OnlineSecurity,0.05239085212948805
PaymentMethod,0.040741430693654046
TechSupport,0.03476575476858154
Dependents,0.024479080432237822
OnlineBackup,0.021432640799985476
gender,0.021127067420338617
Partner,0.018634563367473288
PaperlessBilling,0.018030981396128576
MultipleLines,0.016901436539550948
DeviceProtection,0.015878330718977464
StreamingMovies,0.015427212663000775
StreamingTV,0.014927581305900267
InternetService,0.014842068919815248
SeniorCitizen,0.01302280752758911
PhoneService,0.00648244154931783
